user_id,plan_encoded
1000,1
1001,0
1002,0
1003,0
1004,0
1005,0
1006,1
1007,0
1008,1
1009,0
1010,0
1011,1
1012,0
1013,1
1014,0
1015,0
1016,0
1017,0
1018,0
1019,0
1020,0
1021,0
1022,0
1023,0
1024,0
1025,1
1026,1
1027,0
1028,1
1029,0
1030,1
1031,1
1032,1
1033,1
1034,0
1035,0
1036,1
1037,1
1038,1
1039,1
1040,0
1041,1
1042,0
1043,1
1044,0
1045,0
1046,0
1047,1
1048,0
1049,0
1050,1
1051,0
1052,0
1053,0
1054,0
1055,0
1056,0
1057,1
1058,0
1059,1
1060,0
1061,1
1062,1
1063,1
1064,0
1065,0
1066,0
1067,0
1068,0
1069,1
1070,0
1071,0
1072,0
1073,0
1074,1
1075,0
1076,0
1077,1
1078,0
1079,0
1080,0
1081,0
1082,0
1083,0
1084,0
1085,1
1086,1
1087,0
1088,1
1089,0
1090,0
1091,1
1092,0
1093,0
1094,0
1095,0
1096,1
1097,0
1098,0
1099,0
1100,0
1101,0
1102,1
1103,0
1104,1
1105,0
1106,0
1107,1
1108,1
1109,0
1110,0
1111,0
1112,1
1113,1
1114,0
1115,0
1116,0
1117,0
1118,0
1119,0
1120,0
1121,0
1122,0
1123,0
1124,1
1125,0
1126,1
1127,0
1128,1
1129,0
1130,0
1131,0
1132,1
1133,1
1134,0
1135,1
1136,0
1137,0
1138,0
1139,0
1140,0
1141,0
1142,0
1143,0
1144,1
1145,0
1146,0
1147,0
1148,0
1149,0
1150,1
1151,0
1152,0
1153,0
1154,1
1155,1
1156,0
1157,0
1158,1
1159,1
1160,0
1161,1
1162,1
1163,1
1164,1
1165,0
1166,0
1167,0
1168,0
1169,0
1170,0
1171,0
1172,0
1173,0
1174,0
1175,0
1176,0
1177,0
1178,0
1179,0
1180,0
1181,0
1182,0
1183,0
1184,1
1185,1
1186,1
1187,0
1188,1
1189,0
1190,1
1191,1
1192,0
1193,0
1194,0
1195,0
1196,1
1197,0
1198,0
1199,1
1200,0
1201,0
1202,1
1203,0
1204,1
1205,0
1206,0
1207,0
1208,0
1209,0
1210,0
1211,1
1212,0
1213,1
1214,1
1215,0
1216,0
1217,0
1218,0
1219,0
1220,0
1221,0
1222,0
1223,0
1224,1
1225,0
1226,1
1227,0
1228,0
1229,1
1230,1
1231,1
1232,0
1233,0
1234,1
1235,0
1236,1
1237,1
1238,0
1239,0
1240,0
1241,0
1242,0
1243,0
1244,0
1245,0
1246,1
1247,1
1248,0
1249,1
1250,1
1251,0
1252,0
1253,1
1254,0
1255,1
1256,0
1257,0
1258,0
1259,0
1260,0
1261,0
1262,0
1263,0
1264,1
1265,0
1266,0
1267,0
1268,0
1269,1
1270,1
1271,0
1272,0
1273,1
1274,1
1275,1
1276,0
1277,0
1278,0
1279,1
1280,0
1281,0
1282,1
1283,1
1284,0
1285,0
1286,0
1287,0
1288,0
1289,1
1290,0
1291,0
1292,0
1293,0
1294,0
1295,0
1296,1
1297,0
1298,0
1299,0
1300,0
1301,1
1302,0
1303,1
1304,1
1305,0
1306,0
1307,0
1308,0
1309,0
1310,0
1311,1
1312,0
1313,0
1314,1
1315,0
1316,0
1317,1
1318,0
1319,0
1320,0
1321,0
1322,0
1323,0
1324,0
1325,0
1326,0
1327,0
1328,0
1329,1
1330,1
1331,0
1332,0
1333,1
1334,0
1335,0
1336,0
1337,0
1338,0
1339,0
1340,0
1341,0
1342,0
1343,0
1344,0
1345,0
1346,1
1347,1
1348,0
1349,0
1350,0
1351,1
1352,1
1353,0
1354,1
1355,0
1356,0
1357,0
1358,0
1359,0
1360,0
1361,0
1362,0
1363,1
1364,0
1365,0
1366,0
1367,0
1368,1
1369,0
1370,1
1371,0
1372,0
1373,1
1374,0
1375,0
1376,1
1377,0
1378,0
1379,0
1380,1
1381,0
1382,1
1383,1
1384,1
1385,0
1386,0
1387,0
1388,1
1389,1
1390,1
1391,1
1392,0
1393,0
1394,0
1395,1
1396,0
1397,0
1398,0
1399,0
1400,0
1401,1
1402,0
1403,1
1404,0
1405,1
1406,0
1407,1
1408,0
1409,1
1410,0
1411,0
1412,1
1413,0
1414,0
1415,0
1416,0
1417,1
1418,0
1419,0
1420,1
1421,0
1422,1
1423,0
1424,1
1425,0
1426,1
1427,1
1428,0
1429,0
1430,0
1431,0
1432,1
1433,1
1434,0
1435,1
1436,1
1437,0
1438,0
1439,0
1440,0
1441,1
1442,1
1443,0
1444,0
1445,1
1446,0
1447,0
1448,0
1449,0
1450,1
1451,1
1452,0
1453,1
1454,1
1455,0
1456,1
1457,0
1458,1
1459,1
1460,1
1461,0
1462,1
1463,1
1464,0
1465,1
1466,0
1467,1
1468,0
1469,0
1470,0
1471,0
1472,0
1473,0
1474,0
1475,1
1476,1
1477,1
1478,1
1479,0
1480,0
1481,0
1482,1
1483,0
1484,0
1485,0
1486,0
1487,1
1488,0
1489,0
1490,1
1491,0
1492,0
1493,1
1494,0
1495,0
1496,0
1497,1
1498,0
1499,0
